"ID","chrom.","start","end","MaxD","AveD","Zscore","pvalue"
1,"chr1",3372626,3373125,0,0,0,0
2,"chr1",3398889,3399388,0,0,0,0
3,"chr1",3399748,3400247,0,0,0,0
4,"chr1",3493511,3494010,0,0,0,0
5,"chr1",3611118,3611617,0,0,0,0
6,"chr1",3798673,3799172,0,0,0,0
7,"chr1",3912467,3912966,0,0,0,0
8,"chr1",3934077,3934576,0,0,0,0
9,"chr1",3935957,3936456,0,0,0,0
10,"chr1",4785966,4786465,0,0,0,0
11,"chr1",4807649,4808148,0,0,0,0
12,"chr1",4819370,4819869,0,0,0,0
13,"chr1",4858387,4858886,0,0,0,0
14,"chr1",5014734,5015233,0,0,0,0
15,"chr1",5019207,5019706,0,0,0,0
16,"chr1",5020770,5021269,0,0,0,0
17,"chr1",5023309,5023808,0,0,0,0
18,"chr1",5029791,5030290,0,0,0,0
19,"chr1",5044269,5044768,0,0,0,0
20,"chr1",5070203,5070702,0,0,0,0
21,"chr1",5087002,5087501,0,0,0,0
22,"chr1",5127391,5127890,0,0,0,0
23,"chr1",5230661,5231160,0,0,0,0
24,"chr1",5588131,5588630,0,0,0,0
25,"chr1",5904767,5905266,0,0,0,0
26,"chr1",6401429,6401928,0,0,0,0
27,"chr1",6441241,6441740,0,0,0,0
28,"chr1",6729377,6729876,0,0,0,0
29,"chr1",6768756,6769255,0,0,0,0
30,"chr1",6907065,6907564,0,0,0,0
31,"chr1",6984148,6984647,0,0,0,0
32,"chr1",7066756,7067255,0,0,0,0
33,"chr1",7089756,7090255,0,0,0,0
34,"chr1",7125867,7126366,0,0,0,0
35,"chr1",7141615,7142114,0,0,0,0
36,"chr1",7204684,7205183,0,0,0,0
37,"chr1",7614588,7615087,0,0,0,0
38,"chr1",7699993,7700492,0,0,0,0
39,"chr1",8063480,8063979,0,0,0,0
40,"chr1",8565759,8566258,0,0,0,0
41,"chr1",9019844,9020343,0,0,0,0
42,"chr1",9153778,9154277,0,0,0,0
43,"chr1",9545058,9545557,0,0,0,0
44,"chr1",9546172,9546671,0,0,0,0
45,"chr1",9548643,9549142,0,0,0,0
46,"chr1",9591944,9592443,0,0,0,0
47,"chr1",9621328,9621827,0,0,0,0
48,"chr1",9674282,9674781,0,0,0,0
49,"chr1",9754887,9755386,0,0,0,0
50,"chr1",9787109,9787608,0,0,0,0
51,"chr1",9797112,9797611,0,0,0,0
52,"chr1",9798955,9799454,0,0,0,0
53,"chr1",9799847,9800346,0,0,0,0
54,"chr1",9800549,9801048,0,0,0,0
55,"chr1",9803363,9803862,0,0,0,0
56,"chr1",9806708,9807207,0,0,0,0
57,"chr1",9848638,9849137,0,0,0,0
58,"chr1",9849566,9850065,0,0,0,0
59,"chr1",9850864,9851363,0,0,0,0
