"ID","chrom.","start","end","MaxD","AveD","Zscore","pvalue"
1,"chr1",3094479,3094978,0,0,0,0
2,"chr1",3190894,3191393,0,0,0,0
3,"chr1",3203731,3204230,0,0,0,0
4,"chr1",3670059,3670558,0,0,0,0
5,"chr1",3670818,3671317,0,0,0,0
6,"chr1",3672318,3672817,0,0,0,0
7,"chr1",4492059,4492558,0,0,0,0
8,"chr1",4571609,4572108,0,0,0,0
9,"chr1",4622375,4622874,0,0,0,0
10,"chr1",4780004,4780503,0,0,0,0
11,"chr1",4784861,4785360,0,0,0,0
12,"chr1",4785393,4785892,0,0,0,0
13,"chr1",4810280,4810779,0,0,0,0
14,"chr1",4847038,4847537,0,0,0,0
15,"chr1",4856786,4857285,0,0,0,0
16,"chr1",5019827,5020326,0,0,0,0
17,"chr1",5022024,5022523,0,0,0,0
18,"chr1",5022644,5023143,0,0,0,0
19,"chr1",5024189,5024688,0,0,0,0
20,"chr1",5915255,5915754,0,0,0,0
21,"chr1",5916634,5917133,0,0,0,0
22,"chr1",5917190,5917689,0,0,0,0
23,"chr1",6094084,6094583,0,0,0,0
24,"chr1",6096867,6097366,0,0,0,0
25,"chr1",6102434,6102933,0,0,0,0
26,"chr1",6134969,6135468,0,0,0,0
27,"chr1",6179982,6180481,0,0,0,0
28,"chr1",6190562,6191061,0,0,0,0
29,"chr1",6213708,6214207,0,0,0,0
30,"chr1",6214947,6215446,0,0,0,0
31,"chr1",6272176,6272675,0,0,0,0
32,"chr1",6306714,6307213,0,0,0,0
33,"chr1",6359060,6359559,0,0,0,0
34,"chr1",6382618,6383117,0,0,0,0
35,"chr1",6406253,6406752,0,0,0,0
36,"chr1",6928423,6928922,0,0,0,0
37,"chr1",7077909,7078408,0,0,0,0
38,"chr1",7087911,7088410,0,0,0,0
39,"chr1",7088536,7089035,0,0,0,0
40,"chr1",7090304,7090803,0,0,0,0
41,"chr1",7102614,7103113,0,0,0,0
42,"chr1",7105023,7105522,0,0,0,0
43,"chr1",7199822,7200321,0,0,0,0
44,"chr1",7206509,7207008,0,0,0,0
45,"chr1",7397202,7397701,0,0,0,0
46,"chr1",7397788,7398287,0,0,0,0
47,"chr1",7398703,7399202,0,0,0,0
48,"chr1",7498963,7499462,0,0,0,0
49,"chr1",7543446,7543945,0,0,0,0
50,"chr1",8122976,8123475,0,0,0,0
51,"chr1",8820693,8821192,0,0,0,0
52,"chr1",8842662,8843161,0,0,0,0
53,"chr1",8867572,8868071,0,0,0,0
54,"chr1",8872680,8873179,0,0,0,0
55,"chr1",8876900,8877399,0,0,0,0
56,"chr1",8960240,8960739,0,0,0,0
57,"chr1",9132915,9133414,0,0,0,0
58,"chr1",9298333,9298832,0,0,0,0
59,"chr1",9299485,9299984,0,0,0,0
60,"chr1",9448899,9449398,0,0,0,0
61,"chr1",9545668,9546167,0,0,0,0
62,"chr1",9547816,9548315,0,0,0,0
63,"chr1",9631431,9631930,0,0,0,0
64,"chr1",9640775,9641274,0,0,0,0
65,"chr1",9696767,9697266,0,0,0,0
66,"chr1",9699537,9700036,0,0,0,0
67,"chr1",9700110,9700609,0,0,0,0
68,"chr1",9700838,9701337,0,0,0,0
69,"chr1",9701657,9702156,0,0,0,0
70,"chr1",9748153,9748652,0,0,0,0
