"ID","chrom.","start","end","MaxD","AveD","Zscore","pvalue"
1,"chr1",3045633,3046132,0,0,0,0
2,"chr1",3268223,3268722,0,0,0,0
3,"chr1",3360839,3361338,0,0,0,0
4,"chr1",3427059,3427558,0,0,0,0
5,"chr1",3534672,3535171,0,0,0,0
6,"chr1",3579422,3579921,0,0,0,0
7,"chr1",3669488,3669987,0,0,0,0
8,"chr1",3677126,3677625,0,0,0,0
9,"chr1",4027764,4028263,0,0,0,0
10,"chr1",4061568,4062067,0,0,0,0
11,"chr1",4228302,4228801,0,0,0,0
12,"chr1",4416648,4417147,0,0,0,0
13,"chr1",4470553,4471052,0,0,0,0
14,"chr1",4471246,4471745,0,0,0,0
15,"chr1",4645746,4646245,0,0,0,0
16,"chr1",4706024,4706523,0,0,0,0
17,"chr1",4751215,4751714,0,0,0,0
18,"chr1",4756099,4756598,0,0,0,0
19,"chr1",4808543,4809042,0,0,0,0
20,"chr1",4857496,4857995,0,0,0,0
21,"chr1",4867515,4868014,0,0,0,0
22,"chr1",4927220,4927719,0,0,0,0
23,"chr1",4988617,4989116,0,0,0,0
24,"chr1",5015299,5015798,0,0,0,0
25,"chr1",5017811,5018310,0,0,0,0
26,"chr1",5018592,5019091,0,0,0,0
27,"chr1",5031504,5032003,0,0,0,0
28,"chr1",5067060,5067559,0,0,0,0
29,"chr1",5082862,5083361,0,0,0,0
30,"chr1",5084317,5084816,0,0,0,0
31,"chr1",5129472,5129971,0,0,0,0
32,"chr1",5170381,5170880,0,0,0,0
33,"chr1",5210565,5211064,0,0,0,0
34,"chr1",5224709,5225208,0,0,0,0
35,"chr1",5260891,5261390,0,0,0,0
36,"chr1",5710807,5711306,0,0,0,0
37,"chr1",6214344,6214843,0,0,0,0
38,"chr1",6279563,6280062,0,0,0,0
39,"chr1",6280107,6280606,0,0,0,0
40,"chr1",6282823,6283322,0,0,0,0
41,"chr1",6287954,6288453,0,0,0,0
42,"chr1",6289635,6290134,0,0,0,0
43,"chr1",6311859,6312358,0,0,0,0
44,"chr1",6313044,6313543,0,0,0,0
45,"chr1",6388864,6389363,0,0,0,0
46,"chr1",6623886,6624385,0,0,0,0
47,"chr1",6818422,6818921,0,0,0,0
48,"chr1",6904584,6905083,0,0,0,0
49,"chr1",6939614,6940113,0,0,0,0
50,"chr1",6980295,6980794,0,0,0,0
51,"chr1",6998438,6998937,0,0,0,0
52,"chr1",7010150,7010649,0,0,0,0
53,"chr1",7085949,7086448,0,0,0,0
54,"chr1",7089191,7089690,0,0,0,0
55,"chr1",7125255,7125754,0,0,0,0
56,"chr1",7165289,7165788,0,0,0,0
57,"chr1",7205994,7206493,0,0,0,0
58,"chr1",7312353,7312852,0,0,0,0
